symptom,disease
Flattened nose bridge,Dup (2) (p24.2-p21.0)
Small nose,Dup (2) (p24.2-p21.0)
Developmental delay,Dup (2) (p24.2-p21.0)
Dysmorphic features,Dup (2) (p24.2-p21.0)
Prominent forehead,Dup (2) (p24.2-p21.0)
Sensitivity to light,Coloboma of iris
Unusual shaped pupil,Coloboma of iris
Impaired central vision,Coloboma of iris
Blurred vision,Coloboma of iris
Holes in the iris,Coloboma of iris
Impaired vision,Coloboma of iris
Upslanting eye slits,Dup (2) (p25.3-p25.1)
Long thin fingers,Dup (2) (p25.3-p25.1)
Bulging eyes,Dup (2) (p25.3-p25.1)
Trigonocephaly,Dup (2) (p25.3-p25.1)
Breathing problems in some cases,"Oromandibular and limb hypogenesis syndrome, type i"
Speech problems,"Oromandibular and limb hypogenesis syndrome, type i"
Feeding problems,"Oromandibular and limb hypogenesis syndrome, type i"
Missing or underdeveloped tongue,"Oromandibular and limb hypogenesis syndrome, type i"
Bone pain,Haferkamp syndrome
Bone deformities,Haferkamp syndrome
Loss of bone calcification,Haferkamp syndrome
Bone resorption,Haferkamp syndrome
Small head,"Microcephaly, amish type"
Death,"Microcephaly, amish type"
Metabolic acidosis,"Microcephaly, amish type"
Severe 2-ketoglutaric aciduria,"Microcephaly, amish type"
Smooth brain structure,"Microcephaly, amish type"
Psychomotor retardation,"46,xx chromosome 7 deletion p13-p21"
Abnormal head shape,"46,xx chromosome 7 deletion p13-p21"
Large clitoris,"46,xx chromosome 7 deletion p13-p21"
Dysplastic kidneys,"46,xx chromosome 7 deletion p13-p21"
Cerebral paresis,"46,xx chromosome 7 deletion p13-p21"
Grand mal epilepsy,"46,xx chromosome 7 deletion p13-p21"
Frequent infections,Leukocyte disorders
Dysfunctional leukocytes,Leukocyte disorders
Abnormal leukocytes,Leukocyte disorders
Impaired immune system functioning,Leukocyte disorders
Leukocyte deficiency,Leukocyte disorders
High leukocyte level,Leukocyte disorders
Short middle bone of toes,Piussan-lenaert-mathieu syndrome
Missing middle bone of toes,Piussan-lenaert-mathieu syndrome
Stiff thumbs,Piussan-lenaert-mathieu syndrome
Mental retardation,Piussan-lenaert-mathieu syndrome
Short middle bone of fingers,Piussan-lenaert-mathieu syndrome
Missing middle bone of fingers,Piussan-lenaert-mathieu syndrome
Extra thumbs,Pfeiffer-mayer syndrome
Prominent ears,Pfeiffer-mayer syndrome
Coloboma of iris,Pfeiffer-mayer syndrome
Mental retardation,Pfeiffer-mayer syndrome
Long nose,Pfeiffer-mayer syndrome
Retarded growth,Pfeiffer-mayer syndrome
Small head,Mcdowall syndrome
Epilepsy,Mcdowall syndrome
Spastic tetraplegia,Mcdowall syndrome
Mental retardation,Mcdowall syndrome
Excessive skin folding on scalp,Mcdowall syndrome
Olfactory hallucinations,"Epilepsy, familial temporal lobe, 4"
Migraine with aura,"Epilepsy, familial temporal lobe, 4"
Complex partial seizures,"Epilepsy, familial temporal lobe, 4"
Visual aura,"Epilepsy, familial temporal lobe, 4"
Simple partial seizures,"Epilepsy, familial temporal lobe, 4"
Auditory hallucinations,"Epilepsy, familial temporal lobe, 4"
Generalized tonic-clonic seizures,"Familial febrile convulsions, 3"
Normal psychomotor development,"Familial febrile convulsions, 3"
Hypotonic seizures,"Familial febrile convulsions, 3"
Hypertonic seizures,"Familial febrile convulsions, 3"
Seizures associated with fever,"Familial febrile convulsions, 3"
Abnormal limb postures,Limb dystonia
Muscle spasms,Limb dystonia
Twisting motions,Limb dystonia
Repetitive motions,Limb dystonia
Muscle pain,Limb dystonia
Widening of eye opening when looking towards nose,Duane retraction syndrome iic
Protrusion of eyeballs when looking towards nose,Duane retraction syndrome iic
Inability to move eyeball outward towards ears,Duane retraction syndrome iic
Eyes face straight ahead when looking ahead,Duane retraction syndrome iic
Reddish-purple skin patches,Amyopathic dermatomyositis
Photosensitivity,Amyopathic dermatomyositis
Purple spots on bony joints,Amyopathic dermatomyositis
Purple eyelids,Amyopathic dermatomyositis
Skin rashes,Amyopathic dermatomyositis
"Commonly, patients cry out or scream as they are aroused",Parasomnia
The history is that of a frightening dream,Parasomnia
Arousal during the dream is common.,Parasomnia
History of traumatic experiences,Parasomnia
Meningoencephalocele,Meningoencephalocele -- arthrogryposis -- hypoplastic thumb
Restricted joint movement,Meningoencephalocele -- arthrogryposis -- hypoplastic thumb
Joint contractures,Meningoencephalocele -- arthrogryposis -- hypoplastic thumb
Underdeveloped thumbs,Meningoencephalocele -- arthrogryposis -- hypoplastic thumb
Loss of foot tendon reflex,"Neuropathy, hereditary, sensory, radicular"
Corn on big toes,"Neuropathy, hereditary, sensory, radicular"
Foot ulcers,"Neuropathy, hereditary, sensory, radicular"
Leg pain,"Neuropathy, hereditary, sensory, radicular"
Foot pains,"Neuropathy, hereditary, sensory, radicular"
Dislocated elbows,Del (2) (q33.3-q34)
Small head,Del (2) (q33.3-q34)
Other minor anomalies,Del (2) (q33.3-q34)
Retarded fetal growth,Del (2) (q33.3-q34)
Hypospadias,Del (2) (q33.3-q34)
Retarded growth after birth,Del (2) (q33.3-q34)
Aching shoulder,Bicipital tendonitis
Tenderness over bicipital groove,Bicipital tendonitis
Shoulder pain,Bicipital tendonitis
Shoulder pain when performing overhead activities,Bicipital tendonitis
Shoulder pain when lifting heavy objects,Bicipital tendonitis
Strabismus,Cystoid macular dystrophy
Hyperopia,Cystoid macular dystrophy
Macular atrophy,Cystoid macular dystrophy
Macular edema,Cystoid macular dystrophy
Reduced visual acuity,Cystoid macular dystrophy
Skin redness,Primrose poisoning
Skin swelling,Primrose poisoning
Skin blisters,Primrose poisoning
Skin irritation,Primrose poisoning
Skin rashes,Primrose poisoning
Sinoatrial heart block,"Mental retardation, keratoconus, febrile seizures, and sinoatrial block"
Febrile seizures,"Mental retardation, keratoconus, febrile seizures, and sinoatrial block"
Mental retardation,"Mental retardation, keratoconus, febrile seizures, and sinoatrial block"
Impaired vision,"Mental retardation, keratoconus, febrile seizures, and sinoatrial block"
Short statures,"Mental retardation, macrocephaly, short stature and craniofacial dysmorphism"
Craniofacial dysmorphism,"Mental retardation, macrocephaly, short stature and craniofacial dysmorphism"
Large head,"Mental retardation, macrocephaly, short stature and craniofacial dysmorphism"
Mental retardation,"Mental retardation, macrocephaly, short stature and craniofacial dysmorphism"
Mitral incompetence,Del (3) (pter-p25) and dup (4) (pter-p16.1)
Psoriasis,Del (3) (pter-p25) and dup (4) (pter-p16.1)
Mental retardation,Del (3) (pter-p25) and dup (4) (pter-p16.1)
Seizures,Del (3) (pter-p25) and dup (4) (pter-p16.1)
Nausea,Brennemann syndrome
Inflammation of abdominal lymph nodes,Brennemann syndrome
Abdominal pain,Brennemann syndrome
Fever,Brennemann syndrome
Small  mouth,Otocephaly syndrome
Death,Otocephaly syndrome
Absent jaw,Otocephaly syndrome
Breathing difficulties,Otocephaly syndrome
Ears position towards middle of the face,Otocephaly syndrome
Muscle cramps,Myoglobinuria recurrent
Exercise intolerance,Myoglobinuria recurrent
Muscle pain,Myoglobinuria recurrent
Impaired kidney function,Myoglobinuria recurrent
High urine myoglobin level,Myoglobinuria recurrent
Increased creatine kinase level,Myoglobinuria recurrent
Hemiparesis,Focal cortical dysplasia type ii
Abnormal brain development,Focal cortical dysplasia type ii
Impaired cognition,Focal cortical dysplasia type ii
Mental retardation,Focal cortical dysplasia type ii
Seizures,Focal cortical dysplasia type ii
Weak eye muscles,Myopathy mitochondrial -- cataract
Easily fatigued muscles,Myopathy mitochondrial -- cataract
Exercise intolerance,Myopathy mitochondrial -- cataract
Muscle weakness,Myopathy mitochondrial -- cataract
Cataract,Myopathy mitochondrial -- cataract
Large head,Macrocephaly pigmentation large hands feet
Large feet,Macrocephaly pigmentation large hands feet
Pigmentation anomalies,Macrocephaly pigmentation large hands feet
Large hands,Macrocephaly pigmentation large hands feet
Tiny skin bumps on palms,"Palmoplantar keratoderma punctate, hereditary"
Tiny skin bumps on soles,"Palmoplantar keratoderma punctate, hereditary"
Abnormal nails,"Palmoplantar keratoderma punctate, hereditary"
Gastric ulcers,"Palmoplantar keratoderma punctate, hereditary"
Large pupils,Axenfeld-schürenberg syndrome
Pupils unresponsive to light,Axenfeld-schürenberg syndrome
Inability to move eyes,Axenfeld-schürenberg syndrome
Drooping eyelids,Axenfeld-schürenberg syndrome
Twitching eyelids,Axenfeld-schürenberg syndrome
Eye spasms,Axenfeld-schürenberg syndrome
Nausea,Mal de debarquement
Cognitive dysfunction,Mal de debarquement
Persistent sensation of motion,Mal de debarquement
Brain fog,Mal de debarquement
Rocking sensation,Mal de debarquement
Imbalance,Mal de debarquement
Eyelids swelling,Blepharochalasis syndrome
Thin eyelids,Blepharochalasis syndrome
Stretched eyelid,Blepharochalasis syndrome
Droopy eyelids,Blepharochalasis syndrome
Coughing up blood,Linguatula serrata infection
Throat pain,Linguatula serrata infection
Ear pain,Linguatula serrata infection
Hoarseness,Linguatula serrata infection
Short statures,Oslam syndrome
Tooth decay,Oslam syndrome
Curved fifth finger,Oslam syndrome
Enlarged red blood cells,Oslam syndrome
Bone cancer,Oslam syndrome
Dilated ureters,Del (3) (q13.12-q21.3)
Failed corpus callosum development,Del (3) (q13.12-q21.3)
Minor anomalies,Del (3) (q13.12-q21.3)
Clubfeet,Del (3) (q13.12-q21.3)
Epicanthus inversus,Del (3) (q12-q23)
Mental retardation,Del (3) (q12-q23)
Blepharophimosis,Del (3) (q12-q23)
Cataract,Del (3) (q12-q23)
Droopy eyelids,Del (3) (q12-q23)
Clubfeet,Del (3) (q12-q23)
Alobar holoprosencephaly,Del (3) (q12-q22)
Death soon after birth in reported case,Del (3) (q12-q22)
Patent ductus arteriosus,Del (3) (q12-q22)
Cleft palate,Del (3) (q12-q22)
Undescended testicles,Del (3) (q12-q22)
Cleft lips,Del (3) (q12-q22)
Diarrhea,Encephalitozoon cuniculi infection
Bronchitis,Encephalitozoon cuniculi infection
Pneumonia,Encephalitozoon cuniculi infection
Sinusitis,Encephalitozoon cuniculi infection
Increased salivation,Bufotenine poisoning
Abnormal heart rhythm,Bufotenine poisoning
Eye pain,Bufotenine poisoning
Dypnea,Bufotenine poisoning
Seizures,Bufotenine poisoning
Hypokalemia,Bufotenine poisoning
Nausea,Buffalo pea poisoning
Dizziness,Buffalo pea poisoning
Headaches,Buffalo pea poisoning
Tremors,Buffalo pea poisoning
Abdominal cramps,Buffalo pea poisoning
Mouth irritation,Buffalo pea poisoning
Widely spaced teeth,Teebi-kaurah syndrome
Absent nails,Teebi-kaurah syndrome
Small head,Teebi-kaurah syndrome
Single palm crease,Teebi-kaurah syndrome
Curved fifth finger,Teebi-kaurah syndrome
Missing fingers,Teebi-kaurah syndrome
Skin redness,Plumbago poisoning
Skin swelling,Plumbago poisoning
Skin irritation,Plumbago poisoning
Skin blistering,Plumbago poisoning
Skin infections,Phaeohyphomycosis
Skin lesions,Phaeohyphomycosis
Cysts,Phaeohyphomycosis
Pruritus,Phaeohyphomycosis
Pigmented lesions,Phaeohyphomycosis
Skin inflammation,Phaeohyphomycosis
Reduced blood coagulation,Tidal platelet dysgenesis
Megakariocystic hypoplasia,Tidal platelet dysgenesis
Megakariocystic hyperplasia,Tidal platelet dysgenesis
Low blood platelet level,Tidal platelet dysgenesis
Increased level of blood platelets,Tidal platelet dysgenesis
Abnormal lymphocytes,Postperfusion syndrome
Enlarge lymph nodes,Postperfusion syndrome
Negative heterophil agglutination reaction,Postperfusion syndrome
Fever,Postperfusion syndrome
Bumpy rash,Postperfusion syndrome
Impaired color vision,Retinal cone dystrophy 1
Progressive vision loss,Retinal cone dystrophy 1
Hemeralopia,Retinal cone dystrophy 1
Reduced central vision,Retinal cone dystrophy 1
Progressive light sensitivity,Retinal cone dystrophy 1
Progressive joint disease of fingers,"Digital arthropathy-brachydactyly, familial"
Progressive joint disease of toes,"Digital arthropathy-brachydactyly, familial"
Finger deformity as condition progresses,"Digital arthropathy-brachydactyly, familial"
Toe deformity as condition progresses,"Digital arthropathy-brachydactyly, familial"
Progressive shortening of fingers,"Digital arthropathy-brachydactyly, familial"
Progressive shortening of toes,"Digital arthropathy-brachydactyly, familial"
Thickened skin,Stiff skin syndrome
Lordotic stance,Stiff skin syndrome
Patches of stony-hard skin mostly on buttocks and upper thighs,Stiff skin syndrome
Limited joint mobility,Stiff skin syndrome
Spiny bumps on palms,Porokeratosis punctata palmaris et plantaris
Spiny bumps on soles,Porokeratosis punctata palmaris et plantaris
Rough palms,Porokeratosis punctata palmaris et plantaris
Rough soles,Porokeratosis punctata palmaris et plantaris
Abnormal heart rhythm,Multifocal ventricular premature beats
Fainting,Multifocal ventricular premature beats
Dizziness,Multifocal ventricular premature beats
Palpitations,Multifocal ventricular premature beats
Seizures,Multifocal ventricular premature beats
Spasticity,Amyotrophic lateral sclerosis 5
Muscle cramps,Amyotrophic lateral sclerosis 5
Muscle wasting,Amyotrophic lateral sclerosis 5
Increased reflexes,Amyotrophic lateral sclerosis 5
Progressive muscle weakness,Amyotrophic lateral sclerosis 5
Anxiety,Bilateral abductor vocal cord paralysis syndrome
Airway obstruction,Bilateral abductor vocal cord paralysis syndrome
Stridor when breathing in,Bilateral abductor vocal cord paralysis syndrome
Hypothyroidism,Bilateral abductor vocal cord paralysis syndrome
Depression,Bilateral abductor vocal cord paralysis syndrome
Hand tends to drift to thumb side of wrist,Radial hemimelia
Deficient or absent radial bone,Radial hemimelia
Bowed arms,Radial hemimelia
Shortened arms,Radial hemimelia
Portal hypertension,"Hypercoagulability syndrome, due to glycosylphosphatidylinositol deficiency"
Thrombosis,"Hypercoagulability syndrome, due to glycosylphosphatidylinositol deficiency"
Paroxysmal nocturnal hemoglobinuria,"Hypercoagulability syndrome, due to glycosylphosphatidylinositol deficiency"
Seizures,"Hypercoagulability syndrome, due to glycosylphosphatidylinositol deficiency"
Portal vein thrombosis,"Hypercoagulability syndrome, due to glycosylphosphatidylinositol deficiency"
Proximal muscle weakness,"Muscular dystrophy, limb-girdle type 2m"
Reduced muscle tone,"Muscular dystrophy, limb-girdle type 2m"
Lower limb muscle hypertrophy,"Muscular dystrophy, limb-girdle type 2m"
Enlarged calf muscles,"Muscular dystrophy, limb-girdle type 2m"
Delayed motor development,"Muscular dystrophy, limb-girdle type 2m"
Increased creatine kinase level,"Muscular dystrophy, limb-girdle type 2m"
Reduced deep tendon reflex,Madsam
Muscle wasting,Madsam
Sensory neuropathy,Madsam
Motor neuropathy,Madsam
Progressive asymmetrical numbness,Madsam
Progressive asymmetrical weakness,Madsam
Hypogonadism,Myhre-ruvalcaba-kelley syndrome
Immature behavior,Myhre-ruvalcaba-kelley syndrome
Antisocial behavior,Myhre-ruvalcaba-kelley syndrome
Sensorineural hearing loss,Myhre-ruvalcaba-kelley syndrome
Easy bruising,Congenital amegakaryocytic thrombocytopenia
Impaired blood clotting,Congenital amegakaryocytic thrombocytopenia
Reduced blood platelets,Congenital amegakaryocytic thrombocytopenia
Skin bleeding,Congenital amegakaryocytic thrombocytopenia
Megakaryocyte deficiency,Congenital amegakaryocytic thrombocytopenia
Excessive bleeding,Congenital amegakaryocytic thrombocytopenia
Feelings of worthlessness and guilt,Mixed-state bipolar disorder
Thoughts of suicide,Mixed-state bipolar disorder
Feelings of sadness,Mixed-state bipolar disorder
Loss of interest in activities,Mixed-state bipolar disorder
Loss of energy,Mixed-state bipolar disorder
Recurring intense sexual fantasies involving fear,Phobophilia
Recurring intense sexual urges involving fear,Phobophilia
Sexual interest in fear,Phobophilia
Sexual arousal from fear,Phobophilia
Immunodeficiency,"Immunodeficiency, gonadal dysgenesis and pulmonary fibrosis"
Infant death,"Immunodeficiency, gonadal dysgenesis and pulmonary fibrosis"
Reduced t lymphocyte count,"Immunodeficiency, gonadal dysgenesis and pulmonary fibrosis"
Progressive pulmonary fibrosis,"Immunodeficiency, gonadal dysgenesis and pulmonary fibrosis"
Streak ovaries,"Immunodeficiency, gonadal dysgenesis and pulmonary fibrosis"
Gonadal dysgenesis,"Immunodeficiency, gonadal dysgenesis and pulmonary fibrosis"
Reduced iga,"Immune deficiency, familial variable"
7s gamma globulin deficiency,"Immune deficiency, familial variable"
High blood gamma globulin level,"Immune deficiency, familial variable"
Recurring infections,"Immune deficiency, familial variable"
Increased igm level,"Immune deficiency, familial variable"
